L_color_image_MEAN,L_exp_image_MEAN,L_blur_image_MEAN,L_color_image_MAX,L_exp_image_MAX,L_blur_image_MAX,L_color_image_MIN,L_exp_image_MIN,L_blur_image_MIN,L_color_image_SD,L_exp_image_SD,L_blur_image_SD,L_color_face_MEAN,L_exp_face_MEAN,L_blur_face_MEAN,L_color_face_MAX,L_exp_face_MAX,L_blur_face_MAX,L_color_face_MIN,L_exp_face_MIN,L_blur_face_MIN,L_color_face_SD,L_exp_face_SD,L_blur_face_SD,label
0.018177562828939856,0.18125287008083488,0.11173425378404798,0.06275948583349122,0.2367919566749719,0.08022813473374339,0.02457086808029755,0.2009519124638965,0.028122077547716607,0.07096183890988056,0.17079337820074553,0.07445099430157918,0.10033902667951314,0.17859593632129975,0.014534891163009442,0.11767373053195067,0.24197785844841724,0.03918294600854197,0.08855526001402031,0.2319597924970676,0.028292271764600127,0.06612486968554722,0.07719315917865645,0.029177777079747322,1.0
0.04773711099007358,0.09841857188404307,0.24750833507272724,0.05522977851188283,0.11259761272570123,0.1844852799086466,0.06558108555478118,0.10395206218044546,0.20285774819592048,0.02299695183905944,0.03899235201842531,0.052996283297075966,0.022866664380697746,0.059832410656844616,0.05724882789814728,0.10923378634527563,0.16942873241804896,0.07408822386991865,0.025806693559383108,0.09055395103619299,0.04856687716271764,0.08936697962074666,0.09240244114651484,0.07173726976901176,0.0
0.03264451991152731,0.16301876512980543,0.1277450756545491,0.0432979782850773,0.1937180973737288,0.09915197830623397,0.04114233410102266,0.1784024721813981,0.08748665523504537,0.017856054043037334,0.04249239889627788,0.059426764550836585,0.00736257517926816,0.09800487251783148,0.10003798063665227,0.03881883558682516,0.12657974399305588,0.11966506941277676,0.01933880774217892,0.04549542030442051,0.11720954926624017,0.03454717726725292,0.03686287209919891,0.10164789973528024,1.0
0.05849005413421157,0.08984582601256898,0.21034224642127905,0.1316474390193631,0.15223995970911935,0.17182946474302638,0.02240224474147442,0.09243862750750914,0.15500155852044406,0.10632961612165318,0.1484922458116551,0.09005424860822042,0.06392548262539144,0.2973870784491401,0.006201701118055634,0.08567506634657901,0.3902599254821291,0.1185054043434659,8.26658614641952e-05,0.04932810320857243,0.013805661346559065,0.031103865892085823,0.16136917351545943,0.0578833369048252,0.0
0.09631864726682428,0.10887513750437705,0.33392070333857987,0.11534889099952965,0.07398010740529977,0.17258745539881998,0.08194278501015714,0.047534923433884206,0.12955614685805422,0.20263798404180958,0.15783133684609088,0.12392493027423027,0.5938287938330812,0.2331416656028096,0.005068080666834868,0.5014506407263084,0.25758806549668656,0.02801162465180987,0.13961873033115424,0.08996154683777582,0.004151104446711146,0.5314887093668048,0.2754821676480799,0.03186065312500234,1.0
0.1355191849599289,0.25866554655454277,0.545612968235511,0.10403384115153774,0.2103353329614672,0.29621064519902834,0.023210477701051117,0.15750824468729188,0.22302564854407775,0.25879754785546627,0.18953242013989344,0.2209859190778086,0.01724687226575258,0.00807978080178503,0.004015663375768392,0.013451626598689863,0.019425545531706428,0.1866695076850438,0.0008366297102305948,0.007457179885246487,0.006168854182218842,0.012205966747500713,0.007634690440237956,0.2267462418023111,0.0
0.274987100875749,0.2221309716422754,0.09589460792941465,0.30713742753653794,0.2528536115340518,0.06737939692826377,0.3296677194466093,0.24142715544826654,0.04109435175593764,0.1949961607164624,0.06945629692172889,0.07853335593529705,0.08605018225259241,0.14196183200667625,0.017514170850916166,0.08707491996796132,0.2012614111762094,0.03582240061850859,0.013080586521109024,0.17355008283996573,0.023930064871142055,0.09854105328659776,0.07388637875224828,0.03418158345057596,1.0
0.05732591701958982,0.1395062216567121,0.08512172293464784,0.06281170312199498,0.14947373453894253,0.061897069475478565,0.07704965133099756,0.15152707476185218,0.07277847551507818,0.014697024652967162,0.003936601814720507,0.013526342736325015,0.007643217850681435,0.02403087527445017,0.04194067869892628,0.01795510174795746,0.10596116504951318,0.04453180209942192,0.005746359029780124,0.013799088404513193,0.044992845509965636,0.014480186328830769,0.08890257941336771,0.03752428480384883,0.0
0.009256347576013959,0.11964687513120596,0.12569535179765082,0.022771126768440696,0.09975854868127372,0.06309886673144527,0.009785530332580242,0.08036360627378196,0.07562355669837502,0.023458103440690263,0.04439378061595708,0.010133255970669417,0.13200118506965508,0.153263257770234,0.0025589308057717398,0.09074964306469646,0.10983343885706828,0.00868318526372573,0.17596095956017327,0.08710831241473994,0.004283744274863048,0.021886247419770674,0.030965050478286408,0.010513933877136566,1.0
0.017087599884358918,0.25430382003944674,0.14841938950656994,0.013100328713689526,0.18730047219242402,0.07280443459421046,0.016613058105265012,0.19155783557583014,0.08602307272309728,0.005647246050571644,0.005718107436280704,0.014196327005172253,0.1965423755058569,0.3307656981889324,0.03105684755493248,0.13678810354166848,0.27462208079807726,0.07887678240251707,0.1764818109917404,0.289898556402594,0.04258496450598811,0.049874649906777854,0.06884605041674437,0.0747403214262005,0.0
0.013191965379774713,0.0519008533610928,0.07375838325221813,0.017215277893383354,0.06776757520612078,0.060716241290190175,0.01944083572556616,0.055819607727296584,0.05882010099803458,0.010982103802021952,0.040294979927877214,0.03592585589516142,0.04964975407270815,0.08807773874323341,0.011465885503880722,0.056532223770306644,0.11221411035864456,0.025559487143691054,0.07790293467110442,0.14742973029249587,0.02377328340712123,0.0330528471360487,0.009176769700057324,0.02072834121458537,1.0
