L_color_image_MEAN,L_exp_image_MEAN,L_blur_image_MEAN,L_color_image_MAX,L_exp_image_MAX,L_blur_image_MAX,L_color_image_MIN,L_exp_image_MIN,L_blur_image_MIN,L_color_image_SD,L_exp_image_SD,L_blur_image_SD,L_color_face_MEAN,L_exp_face_MEAN,L_blur_face_MEAN,L_color_face_MAX,L_exp_face_MAX,L_blur_face_MAX,L_color_face_MIN,L_exp_face_MIN,L_blur_face_MIN,L_color_face_SD,L_exp_face_SD,L_blur_face_SD,label
0.024997071367340966,0.4414788863792351,0.08485461662838964,0.026276526847018245,0.5119198962399568,0.06255213754935139,0.01606152078834571,0.43816111715933576,0.06852515601072454,0.03125321077743092,0.2608127896596168,0.01981110566540287,0.018237590297392404,0.21754956835449812,0.07063018374809954,0.059100219799818374,0.2709015296208683,0.17650830748133395,0.04892998953198156,0.2108544187930718,0.09363328489161823,0.054455427877354655,0.18303999419940725,0.18720737222090436,1.0
0.025023273988730232,0.44149053696228363,0.08481133496250721,0.03035132007583156,0.5139541764464295,0.06233958382954468,0.017384569028227968,0.43816111715933576,0.06852515601072454,0.03286230025486993,0.2609341302320073,0.0189473276517337,0.01731757360595672,0.19174674276012063,0.0637716695885986,0.058308368145041894,0.2573513854556983,0.154636149809631,0.04644926757392011,0.18392431620734123,0.05504093370226472,0.05174716286069165,0.1951316977532581,0.190431819050775,0.0
0.016777572348470438,0.13449529375834324,0.12251230516929741,0.025332769979055446,0.2723709963324623,0.11844338168574829,0.007430598990168125,0.18668842019125362,0.11681543921648264,0.06536276329882205,0.4970682449369099,0.05980603405822902,0.03725167233901389,0.10784544351342512,0.012976504568802031,0.04386810469269779,0.18565774024444479,0.01767680590581431,0.08099561988118997,0.15746100306221283,0.021913473377897546,0.011807683607789436,0.06878088232619793,0.009654995189959265,1.0
0.016777572348470438,0.13449529375834324,0.12251230516929741,0.021787479316145515,0.2699557634425996,0.11844338168574829,0.007493516258873158,0.18668842019125362,0.11801383658212868,0.06553557554631251,0.49648977940151895,0.059438571867303724,0.03489873951848153,0.09068363274474475,0.007913817958410046,0.03979974294919165,0.15174585020261,0.012654415595949474,0.0723771032350955,0.12370507701361126,0.012602821650849718,0.012608006504175349,0.05553567812290278,0.007443622057116586,0.0
0.002500732990025985,0.06545686107949542,0.05266998161323918,0.004150430987736095,0.13606858359182095,0.05988018024581324,0.00516475026408243,0.0915746967876941,0.04296371591170164,0.0017657239529316824,0.19440166913507187,0.06900909329572187,0.04098176910604813,0.0700383534791555,0.019082841792272407,0.07475239998535417,0.13284769816230926,0.041284638798968584,0.13032320597086858,0.1560393498822578,0.050497359959950194,0.021435497889028356,0.021626966810775885,0.022551308283335233,1.0
0.0027683893717963363,0.06892755721504465,0.05280149731034586,0.004150430987736095,0.13606858359182095,0.05988018024581324,0.0059052549288559865,0.09594542559301333,0.04296371591170164,0.0010046902593678563,0.19360391384991424,0.0689005493509946,0.040403135709241686,0.05452345675284198,0.00855595096296802,0.07321311917298788,0.11646670141933933,0.02142883060423813,0.123230783547138,0.1182548057736298,0.017366911330512262,0.02392926482278714,0.02879922875400593,0.013313169030077367,0.0
0.032804078824977,0.05549397419258958,0.05577690958941305,0.027808044938463852,0.03361978659215276,0.027783386607524406,0.027917948134059813,0.0297458127272802,0.03051586367491985,0.021240506761173117,0.01885552597183818,0.008951046267240371,0.06323340071229254,0.17081387868502934,0.051329973906320395,0.06462226235042427,0.18064129503489615,0.09339229366105499,0.05133677922131389,0.13601111014394351,0.056227512792014184,0.038402190965217985,0.08718088452881267,0.09305774642837529,1.0
0.03276100593869691,0.05552761138785179,0.0557544941967178,0.027808044938463852,0.03285752508388004,0.026799794003642515,0.027917948134059813,0.029076915578525007,0.03051586367491985,0.0215374608357244,0.019184622034325347,0.0075225742655892,0.06715421439377148,0.16788508483718795,0.026918256918894306,0.06606464349443852,0.1860639719891338,0.07656764395666377,0.050443861544923155,0.14633640944384396,0.025144541523414717,0.04003799817525593,0.08252801020866857,0.09235097282791933,0.0
0.1677791405231698,0.11043656425082304,0.20982173012782163,0.1816114659220729,0.12771098150347254,0.1456272168678059,0.21806062828192813,0.1150095660137845,0.1307161931590759,0.0668206495821531,0.055595539609416156,0.0713754399629722,0.019072056931024567,0.15971156447995727,0.05026078935392829,0.019910050802353873,0.18755195522319612,0.07294696548017021,0.025763597140113944,0.16959975279366352,0.06886900841210096,0.011226367570891816,0.07178136970898548,0.06291782831130163,1.0
0.16777867852645229,0.11043675828471258,0.20982172772882768,0.1816654294936676,0.12556065852728532,0.1456272168678059,0.21783023097278317,0.11338028950096368,0.1307161931590759,0.06445184977818423,0.050624063580379575,0.07131961211820112,0.014323809875576743,0.113885387653271,0.01889019452726696,0.016042597646495623,0.1447338438967282,0.03195461235020452,0.020191438159940293,0.1253511872217158,0.03364255141423815,0.008701201709391397,0.06558165334127126,0.0214818298693619,0.0
